author,persona0,persona1,persona2,persona3
787,0.0550547,0.0506121,0.8418673,0.0524659
814,0.4940299,0.4528505,0.0425209,0.0105987
818,0.079262,0.0715314,0.4666973,0.3825093
860,0.4277103,0.2279936,0.3077478,0.0365483
871,0.0635114,0.4765796,0.3631963,0.0967127
10,0.6076755,0.1031983,0.2716727,0.0174536
1009,0.7034447,0.1281695,0.0833333,0.0850525
1022,0.0839932,0.5213928,0.0833412,0.3112727
1024,0.0434233,0.3278185,0.2934189,0.3353393
1061,0.063322,0.8028197,0.0626581,0.0712003
1064,0.0696251,0.8647215,0.0369841,0.0286693
1065,0.2238945,0.0661226,0.6807368,0.029246
1078,0.3040295,0.5280443,0.083339,0.0845872
1096,0.3695137,0.5016256,0.0634316,0.0654291
1109,0.8066101,0.1497983,0.0220776,0.0215141
1121,0.125,0.6249845,0.1250001,0.1250153
1146,0.8377439,0.052011,0.0570639,0.0531812
1152,0.125,0.6249821,0.125,0.1250179
117,0.0833704,0.4824563,0.2395951,0.1945782
1198,0.125,0.6249944,0.125,0.1250055
120,0.1250001,0.6194712,0.1250007,0.130528
1206,0.0833383,0.7389882,0.0937634,0.08391
1212,0.0833749,0.7421778,0.0833334,0.0911139
124,0.0217582,0.9050578,0.052189,0.020995
1257,0.1115841,0.5603055,0.2439749,0.0841355
1261,0.0625354,0.81038,0.0628198,0.0642648
131,0.0625557,0.5397287,0.0756005,0.3221152
1371,0.0962687,0.8244606,0.0599329,0.0193378
1377,0.4188322,0.4144822,0.0833415,0.0833441
1385,0.0833334,0.749996,0.0833365,0.0833341
1412,0.0833341,0.6746991,0.0862824,0.1556844
1435,0.0834329,0.0897275,0.0879846,0.7388551
1439,0.7387845,0.0626235,0.1541228,0.0444692
1457,0.0833876,0.7491049,0.0833333,0.0841742
1465,0.1306927,0.6923026,0.0872506,0.089754
1474,0.5045014,0.2878288,0.0833334,0.1243365
1494,0.092913,0.2115465,0.5570665,0.138474
1504,0.0846985,0.7340595,0.0978997,0.0833423
1506,0.0833337,0.4749785,0.0836948,0.357993
1529,0.381689,0.4477068,0.0833344,0.0872698
1534,0.0847374,0.5410014,0.2872182,0.0870429
156,0.0833334,0.0997285,0.1083131,0.708625
1578,0.0502017,0.830362,0.0512698,0.0681665
1608,0.0793392,0.7925385,0.0625511,0.0655712
1651,0.0833334,0.7491984,0.0834206,0.0840476
1668,0.0849477,0.0929097,0.2138076,0.608335
1674,0.0626656,0.811449,0.0625315,0.0633539
1683,0.0437908,0.145432,0.7685894,0.0421877
1691,0.0865917,0.5130915,0.0833585,0.3169583
1705,0.4111436,0.1522774,0.1088529,0.3277261
1730,0.0842112,0.2163313,0.223806,0.4756516
1754,0.3493091,0.1884901,0.0959625,0.3662384
1761,0.125,0.6057998,0.1250001,0.1442001
1785,0.4497685,0.4867941,0.0316839,0.0317535
179,0.3373543,0.4662025,0.085028,0.1114153
1795,0.0625492,0.8120742,0.0625,0.0628766
1801,0.7965594,0.0234321,0.1641615,0.015847
1821,0.0416934,0.8590521,0.0419829,0.0572716
1835,0.0432247,0.8732938,0.0417482,0.0417334
1870,0.0227766,0.9234202,0.0307212,0.023082
1882,0.0305427,0.0253086,0.9174149,0.0267339
1896,0.0881387,0.1216383,0.3089248,0.4812982
1959,0.0833333,0.0871104,0.7446387,0.0849176
1996,0.8974614,0.0390512,0.031254,0.0322333
2006,0.0833334,0.7392809,0.0940323,0.0833534
2037,0.0357672,0.8280938,0.0358202,0.1003188
2038,0.0833368,0.5801042,0.0902505,0.2463085
